resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,2u,90n,10u,90n,900m,300m,,,1e-06,316000000.0,0.0762,CS_diode_load,0.9,0.3
,2u,90n,50u,90n,900m,300m,,,6.807e-06,2178000000.0,0.0779,CS_diode_load,0.9,0.3
,10u,90n,2u,90n,900m,300m,,,2.395e-07,15310000.0,0.07844,CS_diode_load,0.9,0.3
,10u,90n,10u,90n,900m,300m,,,1.036e-06,66280000.0,0.07742,CS_diode_load,0.9,0.3
,10u,90n,50u,90n,900m,300m,,,8.537e-06,547900000.0,0.08037,CS_diode_load,0.9,0.3
,50u,90n,2u,90n,900m,300m,,,2.401e-07,2885000.0,0.07382,CS_diode_load,0.9,0.3
,50u,90n,10u,90n,900m,300m,,,1.044e-06,12550000.0,0.07281,CS_diode_load,0.9,0.3
,50u,90n,50u,90n,900m,300m,,,9.119e-06,109600000.0,0.07598,CS_diode_load,0.9,0.3
,2u,90n,2u,90n,400m,400m,,,1.116e-06,3421000000.0,0.8518,CS_diode_load,0.4,0.4
,2u,90n,10u,90n,400m,400m,,,1.603e-06,5472000000.0,0.7874,CS_diode_load,0.4,0.4
,2u,90n,50u,90n,400m,400m,,,1.882e-06,6521000000.0,0.6622,CS_diode_load,0.4,0.4
,10u,90n,2u,90n,400m,400m,,,2.01e-06,1153000000.0,0.8784,CS_diode_load,0.4,0.4
,10u,90n,10u,90n,400m,400m,,,4.954e-06,3119000000.0,0.8577,CS_diode_load,0.4,0.4
,10u,90n,50u,90n,400m,400m,,,7.574e-06,5344000000.0,0.7741,CS_diode_load,0.4,0.4
,50u,90n,2u,90n,400m,400m,,,2.528e-06,255900000.0,0.8349,CS_diode_load,0.4,0.4
,50u,90n,10u,90n,400m,400m,,,9.964e-06,1026000000.0,0.826,CS_diode_load,0.4,0.4
,50u,90n,50u,90n,400m,400m,,,4.029e-05,4675000000.0,0.8457,CS_diode_load,0.4,0.4
,2u,90n,2u,90n,500m,400m,,,1.909e-06,2978000000.0,0.5655,CS_diode_load,0.5,0.4
,2u,90n,10u,90n,500m,400m,,,4.646e-06,7952000000.0,0.5585,CS_diode_load,0.5,0.4
,2u,90n,50u,90n,500m,400m,,,8.152e-06,17430000000.0,0.5599,CS_diode_load,0.5,0.4
,10u,90n,2u,90n,500m,400m,,,2.42e-06,749000000.0,0.5787,CS_diode_load,0.5,0.4
,10u,90n,10u,90n,500m,400m,,,8.555e-06,2733000000.0,0.5725,CS_diode_load,0.5,0.4
,10u,90n,50u,90n,500m,400m,,,2.689e-05,10080000000.0,0.5919,CS_diode_load,0.5,0.4
