resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,drain_voltage_num
,50u,90n,2u,90n,700m,660.4m,,400m,6.029e-06,72160000.0,0.0008663,CS_Current_source_load,0.7000000000000001,0.6604
,50u,90n,10u,90n,700m,660.4m,,400m,2.869e-05,343800000.0,0.004143,CS_Current_source_load,0.7000000000000001,0.6604
,50u,90n,50u,90n,700m,660.4m,,400m,0.0001221,1472000000.0,0.01801,CS_Current_source_load,0.7000000000000001,0.6604
,2u,90n,2u,90n,800m,660.4m,,400m,6.009e-06,1252000000.0,0.01397,CS_Current_source_load,0.8,0.6604
,2u,90n,10u,90n,800m,660.4m,,400m,2.82e-05,6061000000.0,0.07253,CS_Current_source_load,0.8,0.6604
,2u,90n,50u,90n,800m,660.4m,,400m,0.000112,28700000000.0,0.4977,CS_Current_source_load,0.8,0.6604
,3.42u,90n,2u,90n,800m,660.4m,,400m,6.017e-06,737100000.0,0.008387,CS_Current_source_load,0.8,0.6604
,3.42u,90n,10u,90n,800m,660.4m,,400m,2.841e-05,3543000000.0,0.04201,CS_Current_source_load,0.8,0.6604
,3.42u,90n,50u,90n,800m,660.4m,,400m,0.0001166,15840000000.0,0.228,CS_Current_source_load,0.8,0.6604
,5.848u,90n,2u,90n,800m,660.4m,,400m,6.023e-06,432900000.0,0.004999,CS_Current_source_load,0.8,0.6604
,5.848u,90n,10u,90n,800m,660.4m,,400m,2.853e-05,2072000000.0,0.02452,CS_Current_source_load,0.8,0.6604
,5.848u,90n,50u,90n,800m,660.4m,,400m,0.0001191,9073000000.0,0.1195,CS_Current_source_load,0.8,0.6604
,10u,90n,2u,90n,800m,660.4m,,400m,6.026e-06,253800000.0,0.002961,CS_Current_source_load,0.8,0.6604
,10u,90n,10u,90n,800m,660.4m,,400m,2.86e-05,1212000000.0,0.01434,CS_Current_source_load,0.8,0.6604
,10u,90n,50u,90n,800m,660.4m,,400m,0.0001205,5246000000.0,0.066,CS_Current_source_load,0.8,0.6604
,17.1u,90n,2u,90n,800m,660.4m,,400m,6.028e-06,143700000.0,0.001475,CS_Current_source_load,0.8,0.6604
,17.1u,90n,10u,90n,800m,660.4m,,400m,2.866e-05,685400000.0,0.007086,CS_Current_source_load,0.8,0.6604
,17.1u,90n,50u,90n,800m,660.4m,,400m,0.0001215,2945000000.0,0.03141,CS_Current_source_load,0.8,0.6604
,29.24u,90n,2u,90n,800m,660.4m,,400m,6.029e-06,82680000.0,0.0007981,CS_Current_source_load,0.8,0.6604
,29.24u,90n,10u,90n,800m,660.4m,,400m,2.868e-05,394000000.0,0.003819,CS_Current_source_load,0.8,0.6604
,29.24u,90n,50u,90n,800m,660.4m,,400m,0.0001219,1687000000.0,0.01663,CS_Current_source_load,0.8,0.6604
,50u,90n,2u,90n,800m,660.4m,,400m,6.03e-06,47470000.0,0.0004296,CS_Current_source_load,0.8,0.6604
,50u,90n,10u,90n,800m,660.4m,,400m,2.869e-05,226100000.0,0.002051,CS_Current_source_load,0.8,0.6604
,50u,90n,50u,90n,800m,660.4m,,400m,0.0001222,966700000.0,0.008849,CS_Current_source_load,0.8,0.6604
,2u,90n,2u,90n,900m,660.4m,,400m,6.013e-06,866300000.0,0.007839,CS_Current_source_load,0.9,0.6604
,2u,90n,10u,90n,900m,660.4m,,400m,2.83e-05,4172000000.0,0.03956,CS_Current_source_load,0.9,0.6604
