resistance,width1,length1,width2,length2,gate_voltage,drain_voltage,source_voltage,current_source_voltage,power,speed,gain,topology,gate_voltage_num,source_voltage_num
500,31.57u,90n,,,600m,,600m,,0.0006098,26730000000.0,0.7805,CD_resistive_bias,0.6,0.6
500,50u,90n,,,600m,,600m,,0.0006561,16040000000.0,0.7772,CD_resistive_bias,0.6,0.6
500,2u,90n,,,700m,,200m,,2.478e-05,34800000000.0,0.2284,CD_resistive_bias,0.7000000000000001,0.2
500,3.168u,90n,,,700m,,200m,,3.384e-05,28560000000.0,0.2812,CD_resistive_bias,0.7000000000000001,0.2
500,5.017u,90n,,,700m,,200m,,4.38e-05,22070000000.0,0.3275,CD_resistive_bias,0.7000000000000001,0.2
500,7.946u,90n,,,700m,,200m,,5.332e-05,16150000000.0,0.3641,CD_resistive_bias,0.7000000000000001,0.2
500,12.58u,90n,,,700m,,200m,,6.35e-05,11100000000.0,0.3871,CD_resistive_bias,0.7000000000000001,0.2
500,19.93u,90n,,,700m,,200m,,6.893e-05,7443000000.0,0.4023,CD_resistive_bias,0.7000000000000001,0.2
500,31.57u,90n,,,700m,,200m,,7.35e-05,4757000000.0,0.4061,CD_resistive_bias,0.7000000000000001,0.2
500,50u,90n,,,700m,,200m,,7.593e-05,3049000000.0,0.4101,CD_resistive_bias,0.7000000000000001,0.2
500,2u,90n,,,700m,,300m,,4.746e-05,53360000000.0,0.3035,CD_resistive_bias,0.7000000000000001,0.3
500,3.168u,90n,,,700m,,300m,,6.797e-05,45690000000.0,0.374,CD_resistive_bias,0.7000000000000001,0.3
500,5.017u,90n,,,700m,,300m,,9.223e-05,35750000000.0,0.431,CD_resistive_bias,0.7000000000000001,0.3
500,7.946u,90n,,,700m,,300m,,0.0001161,25730000000.0,0.4706,CD_resistive_bias,0.7000000000000001,0.3
500,12.58u,90n,,,700m,,300m,,0.0001413,17270000000.0,0.4931,CD_resistive_bias,0.7000000000000001,0.3
500,19.93u,90n,,,700m,,300m,,0.0001544,11430000000.0,0.5071,CD_resistive_bias,0.7000000000000001,0.3
500,31.57u,90n,,,700m,,300m,,0.0001651,7230000000.0,0.5092,CD_resistive_bias,0.7000000000000001,0.3
